product_id,type,sku,name,ean,description,price,special_price,special_from_date,special_to_date,url_key,image,color,weight,set,size
215213,simple,135606_22__,Miami Cap CF1670 Black,,Miami Cap CF1670,9999.0000,,,,miami-cap-cf1670-black,,104,1.0000,23,
215214,simple,135605_22__,Miami Cap CF1670 Black,,Miami Cap CF1670,9999.0000,,,,miami-cap-cf1670-black-3,,104,1.0000,23,
215215,simple,135602_19__,Atlanta Cap CF1670 Red,,Atlanta Cap CF1670,9999.0000,,,,atlanta-cap-cf1670-red,,107,1.0000,23,
215216,simple,135601_22__,Atlanta Cap CF1670 Black,,Atlanta Cap CF1670,9999.0000,,,,atlanta-cap-cf1670-black,,104,1.0000,23,
215217,simple,135600_9__,Los Angeles Cap CF1670 Yellow,,Los Angeles Cap CF1670,9999.0000,,,,los-angeles-cap-cf1670-yellow,,117,1.0000,23,
215219,simple,135597_22__,Los Angeles Cap CF1670 Black,,Los Angeles Cap CF1670,9999.0000,,,,los-angeles-cap-cf1670-black,,104,1.0000,23,
215220,simple,135596_19__,Chicago Cap CF1670 Red,,Chicago Cap CF1670,9999.0000,,,,chicago-cap-cf1670-red,,107,1.0000,23,
215221,simple,135594_22__,Chicago Cap CF1670 Black,,Chicago Cap CF1670,9999.0000,,,,chicago-cap-cf1670-black,,104,1.0000,23,
215222,simple,135593_22__,Chicago Cap CF1670 Black,,Chicago Cap CF1670,9999.0000,,,,chicago-cap-cf1670-black-3,,104,1.0000,23,
215223,simple,135592_19__,New York Cap CF1670 Red,,New York Cap CF1670,9999.0000,,,,new-york-cap-cf1670-red,,107,1.0000,23,
215224,simple,135591_22__,New York Cap CF1670 Black,,New York Cap CF1670,9999.0000,,,,new-york-cap-cf1670-black,,104,1.0000,23,
215225,simple,135590_2__,New York Cap CF1670 Blue,,New York Cap CF1670,9999.0000,,,,new-york-cap-cf1670-blue,,19,1.0000,23,
215226,simple,135508_7__,New York Cap CF1650 Grey,,New York Cap CF1650,9999.0000,,,,new-york-cap-cf1650-grey,,119,1.0000,23,
215227,simple,135507_19__,New York Cap CF1650 Red,,New York Cap CF1650,9999.0000,,,,new-york-cap-cf1650-red,,107,1.0000,23,
215228,simple,135506_20__,New York Cap CF1650 Pink,,New York Cap CF1650,9999.0000,,,,new-york-cap-cf1650-pink,,106,1.0000,23,
215229,simple,135505_14__,New York Cap CF1650 Lime green,,New York Cap CF1650,9999.0000,,,,new-york-cap-cf1650-lime-green,,112,1.0000,23,
215230,simple,135504_22__,New York Cap CF1650 Black,,New York Cap CF1650,9999.0000,,,,new-york-cap-cf1650-black-3,,104,1.0000,23,
215233,simple,135501_22__,Texas Cap CF1640 Black,,Texas Cap CF1640,9999.0000,,,,texas-cap-cf1640-black,,104,1.0000,23,
215234,simple,135500_2__,Texas Cap CF1640 Blue,,Texas Cap CF1640,9999.0000,,,,texas-cap-cf1640-blue,,19,1.0000,23,
215235,simple,135499_22__,Miami Cap CF1640 Black,,Miami Cap CF1640,9999.0000,,,,miami-cap-cf1640-black,,104,1.0000,23,
215236,simple,135498_19__,Miami Cap CF1640 Red,,Miami Cap CF1640,9999.0000,,,,miami-cap-cf1640-red,,107,1.0000,23,
215238,simple,135496_9__,Pittsburgh Cap CF1640 Yellow,,Pittsburgh Cap CF1640,9999.0000,,,,pittsburgh-cap-cf1640-yellow,,117,1.0000,23,
215239,simple,135495_16__,Boston Cap CF1640 Navy,,Boston Cap CF1640,9999.0000,,,,boston-cap-cf1640-navy,,110,1.0000,23,
215240,simple,135494_22__,Boston Cap CF1640 Black,,Boston Cap CF1640,9999.0000,,,,boston-cap-cf1640-black,,104,1.0000,23,
215243,simple,135630_14__,Alien Cap CF1516A Lime green,,Alien Cap CF1516A,9999.0000,,,,alien-cap-cf1516a-lime-green,,112,1.0000,23,
